date,North Site (Inflow),Mike Webb (Inflow),Dam (Outflow)
20140429,52.98,120.57,18.79
20140430,49.96,409.85,21.71
20140501,55.86,80.55,18.78
20140502,53.28,77.56,20.81
20140503,49.91,74.22,17.47
20140504,50.84,60.55,20.88
20140505,48.25,42.33,19.43
20140506,59.12,99.69,25.71
20140507,52.76,46.3,18.79
20140508,49.76,53.44,20.38
20140509,60.89,38.36,26.56
20140510,48.52,112.15,21.99
20140511,49.41,59.02,22.14
20140512,62.37,126.6,23.66
20140513,57.24,91.12,26.58
20140514,59.25,108.68,22.38
20140515,58.91,110.28,19.3
20140516,72.31,120.65,16.41
20140517,80.13,62.43,16.31
20140518,43.46,79.23,20.8
20140519,73.96,104.83,27.86
20140520,60.4,134.69,19.55
20140521,70.23,127.26,18.17
20140522,82.6,111.24,21.14
20140523,95.4,101,15.23
20140524,73.28,107.4,22.19
20140525,61.44,80.18,24.25
20140526,53.98,117.79,26.42
20140527,51.81,115.42,27.9
20140528,48.39,70.41,24.25
20140529,46.43,140.39,35.32
20140530,41.41,93.39,29.14
20140531,41.43,92.57,29.55
20140601,37.73,63.42,23.78
20140602,50.38,77.99,28.44
20140603,47.82,71.95,31.41
20140604,52.55,60.69,34.38
20140605,45.82,58.65,37.35
20140606,49.83,43.93,167.4
20140607,43.86,43.72,35.33
20140608,48.72,46.69,37.78
20140609,46.58,54.73,35.15
20140610,52.21,42.25,26.75
20140611,49.4,64.56,44.43
20140612,128.96,38.02,92.7
20140613,31.24,45.54,259.08
20140614,38.81,54.99,240.44
20140615,37.49,44.35,28.65
20140616,36.67,42.07,87.47
20140617,57.01,61.45,23.46
20140618,63.34,60.27,32.77
20140619,55.77,42.9,22.44
20140620,51.87,42.29,31.27
20140621,47.96,46.25,22.01
20140622,44.06,45.23,70.7
20140623,40.15,44.37,185.85
20140624,36.25,75.68,226.73
20140625,32.92,77.8,201.21
20140626,39.99,64.19,95.28
20140627,39.63,87.93,61.66
20140628,40.89,71.65,27.19
20140629,37.33,57.34,20.57
20140630,34.79,66.73,37.38
20140701,36.37,62.52,22.21
20140702,36.49,51.48,433.69
20140703,31.88,622.37,318.06
20140704,31.39,195.79,131.97
20140705,31.13,689.68,97.69
20140706,35.95,271.2,91.05
20140707,36.29,233.27,76.87
20140708,32.86,79.32,151.69
20140709,29.22,27.98,173.82
20140710,33.68,28.61,141.59
20140711,34.02,27.14,308.27
20140712,37.46,26.91,317.5
20140713,34.66,28.94,497.64
20140714,36.78,28.89,777.7
20140715,36.97,28.9,238.97
20140716,38.06,27.67,155.5
20140717,39.99,26.17,748.81
20140718,40.23,22.52,746.84
20140719,30.2,25.02,458.93
20140720,34.5,26.31,194.25
20140721,38.81,26.93,98
20140722,43.11,19.29,82.14
20140723,42.47,23.7,80.1
20140724,39.39,55.84,47.89
20140725,40.47,32.82,37.78
20140726,45.27,30.65,45.94
20140727,41.98,33.82,32.18
20140728,81.81,30.39,35.93
20140729,71.66,34.95,41.29
20140730,76.03,44.71,46.52
20140731,259.72,29.18,62.11
20140801,99.12,83.55,53.49
20140802,-9999,39.04,53.56
20140803,-9999,38.86,115.12
20140804,-9999,47.45,126.76
20140805,-9999,100.51,51.67
20140806,-9999,88.32,47.06
20140807,-9999,72.26,39.35
20140808,-9999,43.52,38.89
20140809,-9999,149.92,31.7
20140810,-9999,48.08,25.33
20140811,-9999,79.06,46.11
20140812,-9999,43.04,38.72
20140813,-9999,110.5,44.28
20140814,-9999,49.53,41.52
20140815,-9999,49.53,42.45
20140816,-9999,60.64,43.37
20140817,-9999,45.08,44.3
20140818,-9999,36.39,45.22
20140819,-9999,38.36,46.15
20140820,-9999,32.01,47.07
20140821,-9999,30.62,41.33
20140822,-9999,39.41,54.66
20140823,-9999,32.56,87.01
20140824,-9999,33.45,71.6
20140825,-9999,50.76,65.12
20140826,-9999,37.23,60.67
20140827,-9999,33.85,92.17
20140828,-9999,35.97,75.57
20140829,-9999,28.14,70.76
20140830,-9999,29.97,93.42
20140831,-9999,33.37,96.09
20140901,-9999,33.39,120.72
20140902,-9999,37.92,69.11
20140903,-9999,35.4,73.21
20140904,-9999,31.23,76.48
20140905,-9999,30.11,87.95
20140906,-9999,38.84,77.31
20140907,-9999,31.31,70.15
20140908,-9999,32.02,53.23
20140909,-9999,32.3,74.26
20140910,-9999,44.17,107.61
20140911,-9999,33.28,139.21
20140912,-9999,31.26,60.39
20140913,-9999,36.34,75.85
20140914,-9999,31.07,75.26
20140915,-9999,34.4,75.85
20140916,-9999,34.97,77.42
20140917,-9999,37,125.19
20140918,-9999,28.48,66.27
20140919,-9999,26.98,70.14
20140920,-9999,33.77,90.7
20140921,-9999,43,106.09
20140922,-9999,29.47,74.2
20140923,-9999,30.78,82.06
20140924,-9999,30.62,69.61
20140925,-9999,31.43,66.94
20140926,-9999,31.67,75.2
20140927,-9999,32.88,131.41
20140928,-9999,36.14,185.93
20140929,-9999,30.96,72.29
20140930,-9999,30.02,59.95
20141001,-9999,27.29,63.55
20141002,-9999,31.94,61.15
20141003,-9999,28.88,50.55
20141004,-9999,28.83,56.61
